,0
0,5.0000944305413375
1,4.500352732310331
2,4.001184208782303
3,3.503580344680068
4,3.0097715096268405
5,2.5241413519873825
6,2.054172671807319
7,1.61085242975228
8,1.2078230480075474
9,0.8589241703014353
10,0.5746475232338487
11,0.3589241703014356
12,0.20782304800754733
13,0.11085242975227995
14,0.05417267180731905
15,0.02414135198738315
16,0.009771509626840254
17,0.003580344680068598
18,0.0011842087823024181
19,0.00035273231032978934
20,9.443054133739371e-05
21,2.2683091575969473e-05
22,4.882012037025536e-06
23,9.403276290058388e-07
24,1.61918652802421e-07
25,2.4903999938993795e-08
26,3.418739864968028e-09
27,4.1860287037980654e-10
28,4.569084533748185e-11
29,4.443549540399692e-12
30,3.848701684422453e-13
31,2.9676590362606114e-14
32,2.0364827097100086e-15
33,1.2433186319581264e-16
34,6.751518291309416e-18
35,3.260111216584883e-19
36,1.399525321471016e-20
37,5.340246151017874e-22
38,1.81091041608068e-23
39,5.456548955505071e-25
